"county","cases","latitude","longitude"
"Alabama, Autauga","12","32.5165255","-86.6319403"
"Alabama, Baldwin","28","30.5677527","-87.7324392"
"Alabama, Barbour","1","31.8589311","-85.4032078"
"Alabama, Bibb","4","32.971079","-87.1227088"
"Alabama, Blount","9","33.9510169","-86.5702002"
"Alabama, Bullock","2","32.09929","-85.7091657"
"Alabama, Butler","1","32.0895908","-88.2219652"
"Alabama, Calhoun","20","33.7514505","-85.8315666"
"Alabama, Chambers","81","32.8901658","-85.3866953"
"Alabama, Cherokee","5","34.1142554","-85.6004514"
"Alabama, Chilton","15","32.8522565","-86.7032845"
"Alabama, Choctaw","4","31.9908095","-88.2821326"
"Alabama, Clarke","3","31.659134","-87.8192486"
"Alabama, Clay","8","33.715158","-86.5866694493927"
"Alabama, Cleburne","7","33.6506958","-85.5017359"
"Alabama, Coffee","6","31.3629619","-85.9870669"
"Alabama, Colbert","5","34.6473396","-87.7921769"
"Alabama, Conecuh","1","31.3966783","-86.9437104"
"Alabama, Coosa","6","32.9181762","-86.2327497"
"Alabama, Covington","4","31.196549","-86.4597236"
"Alabama, Crenshaw","1","31.6809362","-86.3244009"
"Alabama, Cullman","15","34.1335332","-86.8779268"
"Alabama, Dale","1","31.3940969","-85.623763"
"Alabama, Dallas","7","32.3117968","-87.1046643"
"Alabama, DeKalb","10","34.4524349","-85.7662118"
"Alabama, Elmore","19","32.5801231","-86.125195"
"Alabama, Escambia","2","31.1168422","-87.1070947"
"Alabama, Etowah","21","34.0371404","-86.022147"
"Alabama, Fayette","1","33.7303493","-87.7419088"
"Alabama, Franklin","5","34.440962","-87.8339064"
"Alabama, Greene","5","32.8620514","-87.9915392"
"Alabama, Hale","3","32.7412417","-87.6561668"
"Alabama, Henry","2","31.4838041","-85.2447377"
"Alabama, Houston","12","31.1355603","-85.2654592"
"Alabama, Jackson","12","34.7692447","-85.9867941"
"Alabama, Jefferson","369","33.5228184","-86.9164513"
"Alabama, Lamar","1","33.7490016","-88.1003689"
"Alabama, Lauderdale","14","34.9049555","-87.6747398"
"Alabama, Lawrence","4","34.4776367","-87.3017331"
"Alabama, Lee","99","32.5814796","-85.3077038"
"Alabama, Limestone","30","34.8342463","-86.9901321"
"Alabama, Lowndes","2","32.1088066","-86.6402541"
"Alabama, Macon","5","32.366606","-85.6660307"
"Alabama, Madison","123","34.7736807","-86.5675095"
"Alabama, Marengo","8","32.201002","-87.7569365"
"Alabama, Marion","16","34.1128132","-87.8544031"
"Alabama, Marshall","17","34.3396046","-86.3301801"
"Alabama, Mobile","103","30.6943566","-88.0430541"
"Alabama, Monroe","5","31.5593935","-87.3781004"
"Alabama, Montgomery","61","32.3669656","-86.3006485"
"Alabama, Morgan","24","34.4296848","-86.8529584"
"Alabama, Pickens","11","33.2948421","-88.1244034"
"Alabama, Pike","10","33.2588817","-86.8295337"
"Alabama, Randolph","10","33.2651763","-85.4693961"
"Alabama, Russell","4","32.2698458","-85.1959487"
"Alabama, Shelby","115","33.2503347","-86.6639746"
"Alabama, St. Clair","23","33.7086407","-86.3364"
"Alabama, Sumter","7","32.5234698","-88.1837986"
"Alabama, Talladega","12","33.3967079","-86.1597137"
"Alabama, Tallapoosa","20","32.8595687","-85.8023774"
"Alabama, Tuscaloosa","41","33.2095614","-87.5675258"
"Alabama, Walker","49","33.7804491","-87.2767248"
"Alabama, Washington","5","31.3991238","-88.2019828"
"Alabama, Wilcox","6","31.9523021","-87.3005169"
"Alabama, Winston","3","34.1328863","-87.361354"
"Alaska, Anchorage","73","61.2163129","-149.8948523"
"Alaska, Fairbanks North Star Borough","42","64.8649039","-146.7751619"
"Alaska, Juneau City and Borough","11","58.37958465","-134.1629625841316"
"Alaska, Kenai Peninsula Borough","10","60.0968272","-151.788033"
"Alaska, Ketchikan Gateway Borough","14","55.489748","-131.011963"
"Alaska, Matanuska-Susitna Borough","4","62.3402481","-149.4793288"
"Alaska, Southeast Fairbanks Census Area","1","63.8489123","-143.9873581406952"
"Alaska, Yukon-Koyukuk Census Area","1","65.22660049999999","-153.5472287159873"
"Arizona, Apache","17","35.214632","-109.4786676"
"Arizona, Cochise","5","31.8514532","-109.8181858"
"Arizona, Coconino","126","35.9363252","-111.6948197"
"Arizona, Gila","2","33.7517565","-110.8052705"
"Arizona, Graham","2","32.8397096","-109.8685752"
"Arizona, Greenlee","1","33.2312681","-109.2751297"
"Arizona, La Paz","2","33.7923828","-114.0184443"
"Arizona, Maricopa","1049","33.34883","-112.49123"
"Arizona, Mohave","9","35.7218038","-113.8271174"
"Arizona, Navajo","148","35.1819775","-110.3549451"
"Arizona, Pima","280","32.1112624","-111.6546163"
"Arizona, Pinal","77","32.8085851","-111.4426212"
"Arizona, Santa Cruz","3","31.5094579","-110.8476281"
"Arizona, Unknown","0","33.4216806","-111.8852372"
"Arizona, Yavapai","35","34.5668857","-112.5515965"
"Arizona, Yuma","13","32.6926588","-114.6276157"
"Arkansas, Arkansas","1","34.2902454","-91.3598511"
"Arkansas, Ashley","4","33.1742582","-91.7295595"
"Arkansas, Baxter","3","36.2820691","-92.3445222"
"Arkansas, Benton","41","36.3456186","-94.2670404"
"Arkansas, Boone","3","36.2829183","-93.0784759"
"Arkansas, Bradley","4","33.4494147","-92.16876"
"Arkansas, Carroll","1","36.3386737","-93.5093048"
"Arkansas, Chicot","2","33.2536665","-91.3026986"
"Arkansas, Clark","27","34.0541966","-93.198963"
